epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2808,3.3254,3.92961,4.34968,0.00333,0.98077,0.00357,0.00117,2.48656,4.11995,4.15919,6e-05,6e-05,6e-05
2,28.4218,3.04518,3.80936,4.33706,0.00333,0.98077,0.00392,0.00112,2.48692,4.11868,4.15922,0.00013307,0.00013307,0.00013307
3,41.4401,2.85983,3.72783,4.25986,0.00333,0.98077,0.00398,0.00124,2.48675,4.11534,4.15916,0.00019822,0.00019822,0.00019822
4,55.4922,2.86835,3.65393,4.23614,0.00327,0.96154,0.00396,0.00121,2.48607,4.11072,4.159,0.00025545,0.00025545,0.00025545
5,69.74,3.03225,3.74486,4.25198,0.00333,0.98077,0.00435,0.0012,2.48489,4.10494,4.15897,0.00030476,0.00030476,0.00030476
6,84.639,2.97357,3.70059,4.16872,0.0032,0.94231,0.00458,0.00113,2.48299,4.0937,4.15935,0.00034615,0.00034615,0.00034615
7,98.9897,2.78199,3.42167,4.11649,0.00333,0.98077,0.00451,0.00129,2.48049,4.07998,4.16002,0.00037962,0.00037962,0.00037962
8,113.457,3.20475,3.74959,4.16174,0.00333,0.98077,0.00435,0.00132,2.47817,4.06735,4.16097,0.00040517,0.00040517,0.00040517
9,128.636,2.83089,3.50505,4.0367,0.00333,0.98077,0.00363,0.00114,2.47541,4.05075,4.16303,0.0004228,0.0004228,0.0004228
10,143.326,3.02133,3.75608,4.1022,0.0032,0.94231,0.00335,0.00097,2.46911,4.02964,4.16562,0.00043251,0.00043251,0.00043251
11,158.078,2.11877,4.08249,3.82364,0.00268,0.78846,0.0026,0.00081,2.46627,4.01158,4.17134,0.0004343,0.0004343,0.0004343
12,172.736,2.34282,3.69546,3.81519,0.00288,0.84615,0.00286,0.00086,2.46651,4.00655,4.18022,0.00042817,0.00042817,0.00042817
13,187.183,2.0822,3.74045,3.72554,0.0032,0.94231,0.00319,0.00095,2.48022,3.99322,4.19754,0.00041412,0.00041412,0.00041412
14,201.411,2.08243,3.52963,3.70961,0.0032,0.94231,0.00325,0.00101,2.49364,3.98168,4.21094,0.00039215,0.00039215,0.00039215
15,215.908,2.23241,3.52164,3.62875,0.00314,0.92308,0.00337,0.00105,2.50625,3.9804,4.24125,0.00036226,0.00036226,0.00036226
16,230.096,2.13799,3.50898,3.49465,0.00314,0.92308,0.00346,0.00105,2.51043,3.97803,4.25311,0.00032445,0.00032445,0.00032445
17,244.226,2.02194,3.58461,3.64234,0.00314,0.92308,0.00349,0.00106,2.51437,3.97266,4.26371,0.00027872,0.00027872,0.00027872
18,258.517,2.0506,3.49437,3.49233,0.00314,0.92308,0.00369,0.0011,2.51811,3.95117,4.28066,0.00022507,0.00022507,0.00022507
19,272.563,2.20112,3.49217,3.51685,0.00314,0.92308,0.00384,0.00116,2.52132,3.94167,4.28759,0.0001635,0.0001635,0.0001635
20,286.721,2.02435,3.53078,3.3823,0.00314,0.92308,0.00403,0.00123,2.52349,3.93413,4.29279,9.401e-05,9.401e-05,9.401e-05
