epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1376,0,106.492,0,0,0,0,0,0,165.106,0,4e-05,4e-05,4e-05
2,19.9468,0,101.612,0,0,0,0,0,0,165.247,0,9.01e-05,9.01e-05,9.01e-05
3,29.8839,0,99.1767,0,0,0,0,0,0,165.292,0,0.00012832,0.00012832,0.00012832
4,40.0077,0,96.0683,0,0,0,0,0,0,165.232,0,0.00015466,0.00015466,0.00015466
5,50.6118,0,92.7571,0,0,0,0,0,0,165.076,0,0.00016912,0.00016912,0.00016912
6,63.07,0,88.6481,0,0,0,0,0,0,164.982,0,0.0001717,0.0001717,0.0001717
7,76.1768,0,86.6274,0,0,0,0,0,0,164.948,0,0.0001624,0.0001624,0.0001624
