epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5273,0,106.492,0,0,0,0,0,0,165.106,0,4e-05,4e-05,4e-05
2,20.4178,0,101.612,0,0,0,0,0,0,165.247,0,9.01e-05,9.01e-05,9.01e-05
3,30.1852,0,99.1767,0,0,0,0,0,0,165.292,0,0.00012832,0.00012832,0.00012832
4,40.0337,0,96.0683,0,0,0,0,0,0,165.232,0,0.00015466,0.00015466,0.00015466
5,49.8763,0,92.7571,0,0,0,0,0,0,165.076,0,0.00016912,0.00016912,0.00016912
6,60.8308,0,88.6481,0,0,0,0,0,0,164.982,0,0.0001717,0.0001717,0.0001717
7,72.5079,0,86.6274,0,0,0,0,0,0,164.948,0,0.0001624,0.0001624,0.0001624
8,84.4389,0,84.5671,0,0,0,0,0,0,164.978,0,0.00014122,0.00014122,0.00014122
9,96.7087,0,83.2536,0,0,0,0,0,0,164.947,0,0.00010816,0.00010816,0.00010816
10,108.494,0,80.7601,0,0,0,0,0,0,164.853,0,6.322e-05,6.322e-05,6.322e-05
