epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3129,2.33176,4.40306,4.39383,0.00327,0.98039,0.0034,0.00111,2.50537,4.1565,4.15917,6e-05,6e-05,6e-05
2,26.4943,2.58139,4.30751,4.43423,0.00327,0.98039,0.00417,0.00122,2.50606,4.15601,4.15926,0.00012614,0.00012614,0.00012614
3,45.8809,2.34994,4.06931,4.42888,0.00327,0.98039,0.00447,0.00131,2.50656,4.15432,4.15928,0.00017644,0.00017644,0.00017644
4,85.7917,2.50243,4.07068,4.26606,0.00327,0.98039,0.0045,0.00132,2.50681,4.1514,4.15941,0.0002109,0.0002109,0.0002109
5,124.734,2.16214,4.17476,4.26204,0.0032,0.96078,0.00407,0.00105,2.50672,4.14772,4.15976,0.00022952,0.00022952,0.00022952
6,166.625,2.32418,4.03366,4.34689,0.00327,0.98039,0.00439,0.00134,2.50643,4.1409,4.16059,0.0002323,0.0002323,0.0002323
7,206.522,2.48558,4.08719,4.16305,0.00327,0.98039,0.0043,0.00127,2.50597,4.13325,4.16155,0.00021924,0.00021924,0.00021924
8,244.542,2.17926,3.98852,4.14866,0.00327,0.98039,0.00382,0.0011,2.5066,4.12545,4.16333,0.00019034,0.00019034,0.00019034
9,284.422,2.2342,3.91717,4.07144,0.0032,0.96078,0.00389,0.00119,2.50754,4.11913,4.16552,0.0001456,0.0001456,0.0001456
10,321.238,2.35238,4.00976,4.09483,0.0032,0.96078,0.0041,0.00128,2.50813,4.11351,4.1679,8.502e-05,8.502e-05,8.502e-05
